0.000000	0.000000	
1.090000	1.090000	S
2.440000	2.440000	S
3.810000	3.810000	S
4.980000	4.980000	S
6.280000	6.280000	S
7.490000	7.490000	S
8.710000	8.710000	S
9.940000	9.940000	S
11.080000	11.080000	S
12.360000	12.360000	S
13.670000	13.670000	S
14.910000	14.910000	S
16.000000	16.000000	S
17.130000	17.130000	S
18.380000	18.380000	S
19.740000	19.740000	S
20.970000	20.970000	S
22.030000	22.030000	S
23.190000	23.190000	S
24.380000	24.380000	S
25.620000	25.620000	S
27.010000	27.010000	S
28.400000	28.400000	S
29.780000	29.780000	S
30.960000	30.960000	S
32.270000	32.270000	S
33.620000	33.620000	S
34.920000	34.920000	S
36.250000	36.250000	S
38.070000	38.070000	S
39.360000	39.360000	S
40.680000	40.680000	S
42.010000	42.010000	S
43.300000	43.300000	S
44.610000	44.610000	S
45.850000	45.850000	S
47.080000	47.080000	S
48.340000	48.340000	S
49.610000	49.610000	S
50.880000	50.880000	S
52.140000	52.140000	S
53.410000	53.410000	S
54.710000	54.710000	S
56.080000	56.080000	S
57.470000	57.470000	S
58.700000	58.700000	S
59.930000	59.930000	S
61.110000	61.110000	S
62.410000	62.410000	S
63.740000	63.740000	S
65.030000	65.030000	S
66.260000	66.260000	S
67.520000	67.520000	S
68.830000	68.830000	S
70.100000	70.100000	S
71.290000	71.290000	S
72.510000	72.510000	S
73.710000	73.710000	S
75.080000	75.080000	S
76.370000	76.370000	S
77.540000	77.540000	S
78.860000	78.860000	S
80.060000	80.060000	S
81.190000	81.190000	S
82.370000	82.370000	S
83.500000	83.500000	S
84.610000	84.610000	S
85.880000	85.880000	S
87.160000	87.160000	S
88.430000	88.430000	S
89.700000	89.700000	S
90.840000	90.840000	S
92.010000	92.010000	S
93.090000	93.090000	S
94.360000	94.360000	S
95.590000	95.590000	S
96.930000	96.930000	S
98.100000	98.100000	S
99.180000	99.180000	S
100.430000	100.430000	S
101.700000	101.700000	S
102.870000	102.870000	S
104.080000	104.080000	S
105.280000	105.280000	S
106.470000	106.470000	S
107.860000	107.860000	S
109.130000	109.130000	S
110.340000	110.340000	S
111.530000	111.530000	S
112.940000	112.940000	S
114.090000	114.090000	S
115.370000	115.370000	S
116.670000	116.670000	S
118.000000	118.000000	S
119.270000	119.270000	S
120.600000	120.600000	S
121.870000	121.870000	S
